fallecidos,n_personas,edad,todos_con_seguridad,C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,V_YEAR,sexo_M
0,1,75.0,False,1,1.0,5.0,2.0,35.0,1.0,1.0,2.0,1.0,18.0,1,1991.0,1
0,1,37.0,False,1,1.0,5.0,2.0,35.0,1.0,1.0,2.0,1.0,18.0,8,1999.0,1
0,1,43.0,False,1,1.0,5.0,2.0,35.0,2.0,4.0,5.0,1.0,3.0,1,1989.0,1
0,1,35.0,False,1,1.0,5.0,2.0,35.0,2.0,4.0,5.0,1.0,3.0,1,1995.0,0
0,1,37.0,False,1,1.0,5.0,3.0,1.0,1.0,4.0,5.0,1.0,18.0,8,1995.0,1
0,1,31.0,False,1,1.0,5.0,3.0,1.0,1.0,4.0,5.0,1.0,18.0,1,1989.0,1
0,1,57.0,False,1,1.0,5.0,3.0,1.0,1.0,4.0,5.0,1.0,18.0,1,1997.0,1
0,1,63.0,False,1,1.0,5.0,3.0,22.0,1.0,5.0,2.0,2.0,18.0,6,1998.0,1
0,1,60.0,False,1,1.0,5.0,3.0,22.0,1.0,5.0,2.0,2.0,18.0,1,1987.0,1
0,1,56.0,False,1,1.0,5.0,3.0,22.0,1.0,5.0,2.0,2.0,18.0,6,1988.0,1
0,2,45.0,False,1,1.0,6.0,1.0,1.0,1.0,4.0,2.0,1.0,18.0,6,1993.0,1
0,1,60.0,False,1,1.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,18.0,1,1992.0,0
0,1,44.0,False,1,1.0,6.0,1.0,1.0,1.0,4.0,5.0,1.0,18.0,6,1994.0,0
0,4,22.0,False,1,1.0,6.0,1.0,1.0,1.0,5.0,5.0,2.0,18.0,8,1990.0,1
0,1,56.0,False,1,1.0,6.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1,1990.0,1
0,1,47.0,False,1,1.0,6.0,1.0,1.0,2.0,5.0,2.0,2.0,18.0,6,1989.0,1
0,1,20.0,False,1,1.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,18.0,1,1989.0,0
0,2,33.0,False,1,1.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,18.0,1,1987.0,1
0,3,43.0,False,1,1.0,6.0,1.0,3.0,1.0,1.0,5.0,1.0,18.0,1,1993.0,1
0,2,26.0,False,1,1.0,6.0,1.0,3.0,1.0,1.0,,2.0,18.0,1,1997.0,1
0,2,31.0,True,1,1.0,6.0,1.0,3.0,1.0,3.0,,1.0,18.0,7,1995.0,1
0,3,42.0,False,1,1.0,6.0,1.0,3.0,1.0,7.0,,1.0,18.0,1,1989.0,1
0,2,28.0,False,1,1.0,6.0,1.0,4.0,1.0,3.0,2.0,4.0,18.0,1,1988.0,1
0,2,28.0,False,1,1.0,6.0,1.0,4.0,,1.0,5.0,4.0,18.0,1,1995.0,0
0,1,25.0,False,1,1.0,6.0,2.0,1.0,1.0,1.0,5.0,1.0,18.0,1,1989.0,1
0,1,,False,1,1.0,6.0,2.0,1.0,1.0,1.0,5.0,1.0,18.0,8,,0
0,1,38.0,True,1,1.0,6.0,2.0,1.0,1.0,1.0,5.0,2.0,18.0,1,1992.0,1
0,1,60.0,False,1,1.0,6.0,2.0,1.0,1.0,1.0,5.0,2.0,18.0,6,1995.0,1
0,1,34.0,False,1,1.0,6.0,2.0,21.0,1.0,1.0,5.0,2.0,18.0,6,1998.0,1
0,2,50.0,False,1,1.0,6.0,2.0,21.0,1.0,1.0,5.0,2.0,18.0,6,1991.0,0
0,1,36.0,False,1,1.0,6.0,2.0,21.0,1.0,1.0,5.0,3.0,18.0,6,1984.0,1
0,1,21.0,True,1,1.0,6.0,2.0,21.0,1.0,1.0,5.0,3.0,18.0,1,1982.0,1
0,2,52.0,False,1,1.0,6.0,2.0,21.0,1.0,2.0,3.0,1.0,18.0,1,1991.0,0
0,1,28.0,False,1,1.0,6.0,2.0,21.0,1.0,5.0,5.0,1.0,18.0,1,1995.0,1
0,1,34.0,False,1,1.0,6.0,2.0,21.0,1.0,5.0,5.0,1.0,18.0,1,1990.0,0
0,1,36.0,False,1,1.0,6.0,2.0,21.0,2.0,1.0,2.0,1.0,1.0,1,1986.0,1
0,1,45.0,False,1,1.0,6.0,2.0,21.0,2.0,1.0,2.0,1.0,1.0,1,1992.0,0
0,1,33.0,False,1,1.0,6.0,2.0,21.0,2.0,1.0,2.0,1.0,1.0,1,1986.0,0
0,1,,False,1,1.0,6.0,2.0,21.0,2.0,1.0,2.0,1.0,1.0,1,,0
0,1,39.0,False,1,1.0,6.0,2.0,21.0,2.0,4.0,,1.0,18.0,1,1998.0,1
0,1,19.0,False,1,1.0,6.0,2.0,21.0,2.0,4.0,,1.0,18.0,1,1988.0,0
0,1,40.0,False,1,1.0,6.0,2.0,21.0,,4.0,,,,1,1994.0,0
0,1,33.0,False,1,1.0,6.0,2.0,21.0,,4.0,,,,1,1997.0,0
0,1,36.0,False,1,1.0,6.0,2.0,22.0,1.0,1.0,2.0,1.0,18.0,8,1995.0,1
0,2,29.0,False,1,1.0,6.0,2.0,22.0,1.0,1.0,2.0,1.0,18.0,1,1991.0,0
0,2,37.0,False,1,1.0,6.0,2.0,22.0,1.0,4.0,2.0,1.0,18.0,1,1989.0,1
0,1,34.0,False,1,1.0,6.0,2.0,22.0,1.0,4.0,2.0,1.0,18.0,6,1990.0,1
0,1,37.0,False,1,1.0,6.0,2.0,22.0,1.0,4.0,5.0,2.0,18.0,1,1989.0,1
0,1,34.0,False,1,1.0,6.0,2.0,22.0,1.0,4.0,5.0,2.0,18.0,1,1990.0,1
0,2,19.0,False,1,1.0,6.0,2.0,22.0,1.0,5.0,2.0,2.0,18.0,6,1989.0,1
0,1,32.0,False,1,1.0,6.0,2.0,22.0,1.0,5.0,2.0,2.0,18.0,1,1984.0,1
0,1,47.0,False,1,1.0,6.0,2.0,31.0,1.0,1.0,3.0,3.0,18.0,1,1992.0,1
0,1,39.0,False,1,1.0,6.0,2.0,31.0,1.0,1.0,3.0,3.0,18.0,6,1996.0,1
0,1,20.0,False,1,1.0,6.0,2.0,31.0,1.0,4.0,3.0,1.0,18.0,1,1989.0,0
0,1,23.0,False,1,1.0,6.0,2.0,31.0,1.0,4.0,3.0,1.0,18.0,1,1995.0,1
0,1,27.0,False,1,1.0,6.0,2.0,31.0,2.0,3.0,5.0,3.0,18.0,1,1991.0,1
0,1,41.0,False,1,1.0,6.0,2.0,31.0,2.0,3.0,5.0,3.0,18.0,1,1994.0,1
0,2,38.0,False,1,1.0,6.0,2.0,33.0,2.0,1.0,1.0,1.0,1.0,1,1990.0,0
0,1,62.0,False,1,1.0,6.0,2.0,33.0,2.0,1.0,1.0,1.0,1.0,1,1997.0,0
0,1,35.0,False,1,1.0,6.0,2.0,33.0,2.0,2.0,1.0,1.0,1.0,1,1998.0,0
0,1,47.0,False,1,1.0,6.0,2.0,33.0,2.0,2.0,1.0,1.0,1.0,1,1986.0,0
0,1,32.0,False,1,1.0,6.0,2.0,33.0,2.0,3.0,2.0,1.0,1.0,1,1990.0,0
0,3,40.0,False,1,1.0,6.0,2.0,33.0,2.0,3.0,2.0,1.0,1.0,6,1994.0,1
0,3,36.0,False,1,1.0,6.0,2.0,33.0,2.0,4.0,,1.0,1.0,1,1988.0,0
0,2,36.0,False,1,1.0,6.0,2.0,33.0,2.0,4.0,,1.0,1.0,1,1987.0,1
0,2,49.0,False,1,1.0,6.0,2.0,34.0,2.0,3.0,5.0,1.0,3.0,1,1995.0,1
0,1,61.0,False,1,1.0,6.0,2.0,34.0,2.0,3.0,5.0,1.0,3.0,1,1991.0,1
0,1,33.0,False,1,1.0,6.0,2.0,34.0,3.0,1.0,5.0,1.0,18.0,1,1993.0,1
0,1,52.0,False,1,1.0,6.0,2.0,34.0,3.0,1.0,5.0,1.0,18.0,1,1999.0,0
0,1,25.0,False,1,1.0,6.0,2.0,35.0,2.0,1.0,2.0,1.0,3.0,1,1988.0,0
0,1,27.0,False,1,1.0,6.0,2.0,35.0,2.0,1.0,2.0,1.0,3.0,1,1993.0,0
0,1,52.0,False,1,1.0,6.0,2.0,35.0,2.0,1.0,5.0,1.0,,1,1997.0,1
0,1,53.0,False,1,1.0,6.0,2.0,35.0,2.0,1.0,5.0,1.0,,1,1990.0,1
0,5,18.0,False,1,1.0,6.0,2.0,35.0,2.0,6.0,,1.0,3.0,1,1997.0,1
0,1,27.0,False,1,1.0,6.0,2.0,35.0,2.0,6.0,,1.0,3.0,1,1989.0,1
